what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.validation,1.2.302.v201107140600,"org.eclipse.wst.validation",1325619219099
started,bundle,org.eclipse.wst.dtd.ui,1.0.600.v201103171359,"org.eclipse.wst.dtd.ui",1325619219271
started,bundle,org.eclipse.wst.xsl.ui,1.1.200.v201103082057,"org.eclipse.wst.xsl.ui",1325619219409
opened,editor,com.android.ide.eclipse.adt,12.0.0.v201106281929-138431,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1325619219728
activated,editor,com.android.ide.eclipse.adt,12.0.0.v201106281929-138431,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1325619219891
started,bundle,org.eclipse.jst.j2ee.core,1.2.101.v201108110300,"org.eclipse.jst.j2ee.core",1325619220942
started,bundle,org.eclipse.jem,2.0.500.v201104271400,"org.eclipse.jem",1325619221010
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.100.v201105122000,"org.eclipse.wst.common.frameworks.ui",1325619221096
started,bundle,org.eclipse.jst.j2ee,1.1.501.v201108231845,"org.eclipse.jst.j2ee",1325619221217
started,bundle,org.eclipse.jem.workbench,2.0.400.v201104251400,"org.eclipse.jem.workbench",1325619221284
started,bundle,org.eclipse.wst.internet.cache,1.0.400.v201004280700,"org.eclipse.wst.internet.cache",1325619221440
started,bundle,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.ui",1325619224799
started,bundle,org.eclipse.jst.jsp.core,1.2.401.v201108302147,"org.eclipse.jst.jsp.core",1325619224886
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1325619231700
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1325619234273
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325619235533
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325619240502
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325619241351
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325619256589
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325619257673
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325619288917
started,bundle,org.eclipse.pde.core,3.7.1.v20110822-2108,"org.eclipse.pde.core",1325619295994
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325619296587
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325619300713
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325619301182
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325619355463
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325619356897
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325619362753
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1325619366866
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325619370456
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.300.v201104272153,"org.eclipse.wst.jsdt.manipulation",1325619372470
started,bundle,org.eclipse.wst.jsdt.ui,1.1.101.v201108151912,"org.eclipse.wst.jsdt.ui",1325619372636
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325619373010
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1325619373035
